Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
2847,24.28,10.36%,0.0009,0.019588133
2848,12.99,18.56%,0.004,0.042316224
2849,8.65,36.77%,0.006,0.03281637
2850,2.03,22.72%,0.0001,0.000156878
2851,4.94,26.35%,0.0017,0.006185127
2852,4.99,27.16%,0.0002,0.000726943
2853,14.43,13.08%,0.0028,0.035119157
2854,9.2,1.01%,0.0041,0.037339028
2855,19.79,34.49%,0.0031,0.04018973
2856,17.68,25.82%,0.0014,0.018361034
2857,15.58,14.04%,0.0005,0.006696284
2858,18.84,16.47%,0.0092,0.144780878
2859,14.17,7.83%,0.0021,0.027427027
2860,20.05,19.38%,0.003,0.04849293
2861,4.24,29.32%,0.0042,0.012586694
2862,24.5,5.93%,0.004,0.0921886
2863,24.12,36.42%,0.0079,0.121150418
2864,17.43,29.90%,0.0064,0.078197952
2865,16.95,10.37%,0.006,0.09115371
2866,17.98,10.40%,0.0088,0.141768704
2867,21.9,36.32%,0.0004,0.005578368
2868,24.27,15.29%,0.003,0.061677351
2869,24.15,12.00%,0.0009,0.0191268
2870,4.48,15.35%,0.0096,0.036406272
2871,15.46,37.58%,0.0095,0.091676254
2872,10.61,16.33%,0.0061,0.054152061
2873,14.23,8.55%,0.0089,0.115818682
2874,8.93,11.21%,0.0041,0.032508683
2875,24.5,11.12%,0.009,0.1959804
2876,24.43,38.80%,0.0087,0.130075092
2877,10.35,11.96%,0.0009,0.008200926
2878,15.15,26.77%,0.0058,0.064347201
2879,11.95,32.60%,0.0091,0.07329413
2880,1.06,3.30%,0.0075,0.00768765
2881,21.37,35.48%,0.0008,0.011030339
2882,19.02,18.24%,0.0002,0.00311015
2883,22.75,34.23%,0.0054,0.080798445
2884,18.85,8.41%,0.0024,0.041435316
2885,22.5,39.07%,0.0046,0.06306255
2886,1.95,22.66%,0.003,0.00452439
2887,9.48,13.31%,0.0088,0.072320266
2888,13.09,32.70%,0.0058,0.051095506
2889,2.41,31.06%,0.0068,0.011297887
2890,17.82,34.20%,0.0053,0.062145468
2891,23.19,20.54%,0.0054,0.09950458
2892,3.43,33.32%,0.0082,0.018754417
2893,16.23,24.20%,0.0089,0.109490826
2894,19.93,30.22%,0.0098,0.136290109
2895,10.88,30.77%,0.0065,0.048959456
2896,13.39,30.23%,0.0097,0.090619369
2897,8.71,37.65%,0.0084,0.045617754
2898,2.82,16.51%,0.0035,0.008240463
2899,5.45,25.07%,0.0098,0.040020113
2900,11.72,35.62%,0.0017,0.012827071
2901,16.09,7.54%,0.0099,0.147280459
2902,15.33,17.02%,0.0087,0.110671256
2903,11.77,2.31%,0.0059,0.067838867
2904,19.92,34.26%,0.0049,0.064167499
2905,10.62,30.58%,0.0007,0.005160683
2906,14.46,6.23%,0.005,0.06779571
2907,3.39,13.68%,0.0032,0.009363994
2908,2.68,9.71%,0.009,0.021777948
2909,4.3,34.39%,0.0093,0.026237439
2910,3.4,1.99%,0.0012,0.003998808
2911,12.89,19.13%,0.0048,0.050035886
2912,20.85,15.04%,0.0039,0.069085224
2913,24.93,25.72%,0.0065,0.120367026
2914,18.9,5.98%,0.007,0.12438846
2915,20.06,6.37%,0.003,0.056346534
2916,22.63,1.46%,0.0052,0.11595793
2917,9.62,22.97%,0.0068,0.050389945
2918,16.66,0.06%,0.0087,0.144855035
2919,19.35,16.78%,0.0035,0.056360745
2920,2.24,26.20%,0.0043,0.007108416
2921,24.26,29.49%,0.0044,0.075265194
2922,6.61,38.17%,0.0082,0.033513097
2923,12.28,28.47%,0.007,0.061487188
2924,3.29,21.29%,0.0063,0.016314222
2925,2.71,21.72%,0.0078,0.016546826
2926,24.41,15.59%,0.0006,0.012362689
2927,13.74,24.05%,0.0037,0.038611461
2928,18.43,28.50%,0.0057,0.075111465
2929,0.36,21.41%,0.0062,0.001754129
2930,22.77,3.77%,0.0034,0.074499341
2931,17.24,17.71%,0.0016,0.022698874
2932,18.21,16.78%,0.0047,0.071225501
2933,4.66,5.32%,0.0064,0.028237363
2934,0.22,16.94%,0.0081,0.001480129
2935,0,32.84%,0.003,0
2936,11.03,11.17%,0,0
2937,11.83,33.93%,0.0002,0.001563216
2938,3.39,15.27%,0.0049,0.0140745
2939,3.88,22.07%,0.0018,0.005442631
2940,23.69,38.92%,0.0071,0.102735949
2941,4.99,7.47%,0.0091,0.042016948
2942,14.94,15.56%,0.0052,0.065599747
2943,8.85,32.19%,0.0058,0.034806873
2944,14.15,1.80%,0.0088,0.12227864
2945,11.7,21.88%,0.0066,0.060324264
2946,17.55,38.52%,0.0056,0.060422544
2947,5.21,10.85%,0.0067,0.031119591
2948,20.86,23.86%,0.0001,0.00158828
2949,14.89,22.55%,0.0037,0.042669529
2950,2.31,25.35%,0.004,0.00689766
2951,14.6,32.55%,0.0023,0.02264971
2952,17.04,9.89%,0.008,0.122837952
2953,7.77,35.01%,0.0096,0.048477341
2954,11.12,5.02%,0.0053,0.055977413
2955,6.09,16.94%,0.008,0.040466832
2956,0.27,24.13%,0.0097,0.001987035
2957,17.5,0.30%,0.0094,0.1640065
2958,5.44,31.80%,0.0047,0.017437376
2959,0.74,34.58%,0.0045,0.002178486
2960,0.78,11.13%,0.0051,0.003535249
2961,4.28,39.02%,0.0093,0.024272479
2962,2.02,34.81%,0.0084,0.011061439
2963,23.01,25.74%,0.0025,0.042718065
2964,1.66,17.72%,0.0075,0.01024386
2965,21.19,31.97%,0.009,0.129740013
2966,15.36,29.87%,0.0074,0.079712563
2967,22.77,8.20%,0.006,0.12541716
2968,18.14,4.77%,0.0072,0.124377998
2969,23.01,37.61%,0.0082,0.1177187
2970,0.83,21.94%,0.0063,0.004081757
2971,0.81,4.09%,0.0055,0.004272791
2972,15.4,20.44%,0.0053,0.064936872
2973,23.19,25.37%,0.0067,0.11595487
2974,24.49,11.33%,0.0056,0.121605585
2975,5.54,39.29%,0.0097,0.03262434
2976,1.91,11.43%,0.0043,0.007274254
2977,22.29,18.46%,0.0097,0.17630008
2978,3.04,31.43%,0.0066,0.013757885
2979,8.04,18.77%,0.0067,0.043756976
2980,22.27,19.95%,0.0068,0.121224518
2981,13.61,30.61%,0.0062,0.05855267
2982,15.06,37.02%,0.0065,0.061651122
2983,15.13,11.29%,0.0075,0.100663673
2984,22.28,3.93%,0.0058,0.124145497
2985,1.3,4.69%,0.0087,0.010779561
2986,9.47,5.86%,0.0049,0.043683784
2987,14.21,6.23%,0.004,0.053298868
2988,13.66,1.04%,0.0038,0.051368157
2989,8.3,8.17%,0.0062,0.047255718
2990,1.07,31.77%,0.0092,0.006716561
2991,23.03,8.95%,0.0074,0.155169231
2992,16.43,37.77%,0.007,0.071570723
2993,19.37,32.48%,0.0051,0.066700982
2994,4.92,26.72%,0.0059,0.021271718
2995,16.47,10.14%,0.005,0.07399971
2996,10.87,21.57%,0.0043,0.036658966
2997,23.35,28.43%,0.0096,0.160431312
2998,14.04,16.59%,0.0098,0.114765487
2999,6.27,33.38%,0.0026,0.010860392
3000,19.31,1.14%,0.0007,0.013362906
3001,3.08,12.51%,0.0008,0.002155754
3002,8.65,39.78%,0.0038,0.019794314
3003,17.17,38.74%,0.0025,0.026295855
3004,19.83,4.41%,0.0064,0.121315181
3005,18.04,8.96%,0.005,0.08211808
3006,12.03,3.58%,0.0001,0.001159933
3007,21.38,8.64%,0.0083,0.162121974
3008,24.6,20.57%,0.0008,0.015631824
3009,8.02,26.95%,0.0033,0.019333413
3010,16.51,25.33%,0.0057,0.070269697
3011,3.84,27.26%,0.0012,0.003351859
3012,24.49,21.94%,0.0077,0.147200084
3013,0.71,26.74%,0.0021,0.001092307
3014,19.62,27.31%,0.0053,0.075587423
3015,16.59,9.93%,0.0045,0.067241759
3016,8.37,29.34%,0.0091,0.053819602
3017,19.43,0.67%,0.0046,0.088779167
3018,0.71,29.00%,0.0017,0.00085697
3019,2.11,32.00%,0.006,0.0086088
3020,2.32,18.85%,0.0041,0.007718988
3021,19.48,19.26%,0.0076,0.119533955
3022,9.93,33.97%,0.0029,0.019014659
3023,14.04,29.44%,0.0048,0.047551795
3024,5.34,30.71%,0.0075,0.027750645
3025,1.67,17.48%,0.0057,0.007855079
3026,11.38,35.09%,0.0028,0.020682922
3027,15.54,8.12%,0.0004,0.005711261
3028,2.38,3.80%,0.0006,0.001373736
3029,11.93,35.30%,0.0061,0.047084131
3030,13.05,36.43%,0.0056,0.046456956
3031,11.59,14.45%,0.0074,0.073372813
3032,5.69,12.55%,0.0015,0.007463858
3033,5.32,8.45%,0.0014,0.006818644
3034,2.73,19.25%,0.0092,0.02028117
3035,14.27,15.29%,0.0014,0.016923364
3036,11.4,26.30%,0.0056,0.04705008
3037,0.64,10.85%,0.0049,0.002795744
3038,20.51,27.63%,0.0041,0.060856657
3039,11.98,24.87%,0.0071,0.063904075
3040,21.96,18.32%,0.0036,0.064572941
3041,13.24,23.30%,0.0001,0.001015508
3042,2.24,8.19%,0.0032,0.006580941
3043,20.84,36.48%,0.0057,0.075454138
3044,19.96,13.45%,0.0019,0.032823222
3045,10,27.40%,0.0027,0.019602
3046,18.7,16.86%,0.0049,0.076181182
3047,4.71,34.49%,0.0048,0.014810501
3048,10.03,32.88%,0.0075,0.05049102
3049,8.56,37.98%,0.0077,0.040878622
3050,6.07,24.65%,0.0003,0.001372124
3051,20.95,38.30%,0.0054,0.06980121
3052,3.6,39.44%,0.0026,0.005668416
3053,1.65,11.07%,0.0018,0.002641221
3054,5.64,22.31%,0.008,0.035053728
3055,3.59,8.45%,0.0004,0.001314658
3056,0.64,6.37%,0.0095,0.005692704
3057,12.88,36.64%,0.007,0.057125376
3058,5.46,24.87%,0.001,0.004102098
3059,5.58,14.35%,0.004,0.01911708
3060,7.7,0.58%,0.0017,0.013014078
3061,20.91,28.53%,0.0046,0.068744134
3062,7,12.34%,0.0072,0.04418064
3063,13.48,36.44%,0.0063,0.053977694
3064,8.94,24.02%,0.0021,0.014264485
3065,7.75,26.80%,0.0046,0.0260958
3066,22.35,19.09%,0.0076,0.137433726
3067,10.19,23.90%,0.007,0.05428213
3068,16.46,22.24%,0.0001,0.00127993
3069,17.68,11.39%,0.0015,0.023499372
3070,7.95,14.31%,0.0071,0.048367721
3071,13.07,38.14%,0.0029,0.023446796
3072,15.46,24.08%,0.0029,0.034037973
3073,18.86,12.54%,0.0047,0.077526293
3074,2.52,0.72%,0.0043,0.010757981
3075,6.69,7.53%,0.0051,0.031549839
3076,2.63,35.83%,0.0011,0.001856438
3077,15.29,2.90%,0.009,0.13361931
3078,12.48,22.26%,0.0024,0.023284685
3079,20.44,20.36%,0.0012,0.019534099
3080,13.46,21.31%,0.0069,0.073082551
3081,22.38,5.09%,0.0039,0.082839346
3082,17.46,28.99%,0.003,0.037195038
3083,11.52,23.24%,0.0018,0.015916954
3084,22.93,26.72%,0.0065,0.109220176
3085,20.93,3.24%,0.0033,0.066831164
3086,8.39,29.67%,0.0066,0.038944534
3087,12.26,39.03%,0.0089,0.066526806
3088,9.18,24.77%,0.0017,0.011740394
3089,21.89,32.76%,0.009,0.132469524
3090,7.7,4.30%,0.01,0.073689
3091,23.86,24.57%,0.0078,0.140381264
3092,10.28,27.33%,0.0056,0.041834666
3093,23.82,22.07%,0.0041,0.076107997
3094,13.73,16.32%,0.0017,0.019531749
3095,8.32,37.27%,0.0092,0.048016051
3096,16.19,15.42%,0.003,0.041080506
3097,11.59,2.26%,0.0034,0.038515424
3098,21.72,26.63%,0.0078,0.124300519
3099,14.99,21.41%,0.004,0.047122564
3100,10.92,14.78%,0.0007,0.006514217
3101,10.37,15.05%,0.006,0.05285589
3102,18.64,6.26%,0.0042,0.073387171
3103,0.54,3.87%,0.0044,0.002284049
3104,12.28,38.34%,0.0009,0.006814663
3105,10.39,6.69%,0.0036,0.034901672
3106,19.29,19.17%,0.0016,0.024947371
3107,14.06,14.12%,0.0047,0.056751222
3108,8.54,17.26%,0.0076,0.05370157
3109,7.84,14.10%,0.0049,0.032999344
3110,4.97,8.92%,0.0061,0.027612724
3111,18.48,7.75%,0.0025,0.0426195
3112,23.24,7.23%,0.0018,0.038807546
3113,14.97,30.26%,0.0078,0.081432608
3114,0.69,39.43%,0.0093,0.003886777
3115,20.59,5.17%,0.0073,0.142536128
3116,20.61,3.39%,0.0014,0.027875849
3117,8.01,37.57%,0.0072,0.03600463
3118,18.32,35.79%,0.0079,0.092929849
3119,10.01,39.73%,0.0083,0.050074124
3120,0.1,14.79%,0.0036,0.000306756
3121,21.29,24.58%,0.0052,0.083495974
3122,10.62,2.21%,0.003,0.031155894
3123,6.49,37.48%,0.0056,0.022722269
3124,21.55,2.48%,0.0032,0.067249792
3125,15.18,8.46%,0.0091,0.126451525
3126,20.65,8.24%,0.0079,0.149692676
3127,14.43,34.99%,0.0024,0.022514263
3128,8.1,18.24%,0.0043,0.028477008
3129,10.62,26.15%,0.0007,0.005490009
3130,19.91,32.40%,0.0036,0.048452976
3131,10.16,22.81%,0.0093,0.072935287
3132,14.36,25.97%,0.0068,0.072288814
3133,15.54,0.78%,0.0046,0.070926425
3134,20.21,4.58%,0,0
3135,0.44,30.41%,0.0098,0.003000721
3136,12.89,7.39%,0.0003,0.003581229
3137,6.26,7.76%,0.0051,0.029448542
3138,22.65,9.65%,0.0093,0.190317758
3139,17.49,31.13%,0.0019,0.02288619
3140,1.7,37.35%,0.007,0.00745535
3141,20.71,11.89%,0.0031,0.056567501
3142,10.2,0.19%,0.0051,0.051921162
3143,9.28,15.33%,0.0096,0.07543081
3144,23.99,34.98%,0.0028,0.043675234
3145,7.09,8.45%,0.0008,0.005192716
3146,8.92,32.07%,0.0011,0.006665292
3147,9.25,17.73%,0.0066,0.050225835
3148,19.62,5.43%,0.0017,0.031542878
3149,2.53,36.05%,0.004,0.00647174
3150,11.12,11.57%,0.004,0.039333664
3151,1.75,15.77%,0.0003,0.000442208
3152,6.55,14.63%,0.0041,0.022926114
3153,19.91,10.80%,0.0061,0.108334292
3154,9.33,31.02%,0.009,0.057922506
3155,21.11,9.53%,0,0
3156,4.71,38.40%,0.002,0.00580272
3157,16.68,22.23%,0.0047,0.060968569
3158,15.97,7.13%,0.0095,0.140897721
3159,13.73,7.05%,0.003,0.038286105
3160,14.44,27.38%,0.004,0.041945312
3161,9.67,26.04%,0.0009,0.006436739
3162,9.25,26.87%,0.005,0.033822625
3163,12.86,31.22%,0.0029,0.025650813
3164,11.79,20.44%,0.0091,0.085359128
3165,9.16,34.84%,0.0022,0.013131043
3166,10.63,29.80%,0.0094,0.070145244
3167,3.44,37.45%,0.0026,0.005594472
3168,14.16,4.38%,0.0015,0.020309688
3169,18.03,11.63%,0.0026,0.041426089
3170,16.48,38.92%,0.0008,0.008052787
3171,15.14,18.03%,0.0083,0.103005141
3172,20.82,25.61%,0.0019,0.029427196
3173,17.49,12.44%,0.0044,0.067382674
3174,15.9,11.72%,0.0039,0.054742428
3175,16.44,37.32%,0.0081,0.083467195
3176,10.31,9.05%,0.0089,0.083454811
3177,10.07,39.39%,0.0085,0.05187913
3178,23.18,4.97%,0.009,0.198251586
3179,10.96,23.09%,0.0012,0.010115203
3180,2.57,9.18%,0.0094,0.021940296
3181,3.25,9.44%,0.0036,0.01059552
3182,17.47,22.12%,0.0011,0.0149662
3183,4.13,33.89%,0.0097,0.026484327
3184,10.11,9.52%,0.0038,0.034760606
3185,19.07,13.50%,0.0088,0.14516084
3186,21.46,24.29%,0.0091,0.147851031
3187,22.02,8.94%,0.0055,0.110282766
3188,6.83,23.19%,0.0091,0.047739719
3189,10.33,29.27%,0.0094,0.068680245
3190,11.29,37.17%,0.002,0.014187014
3191,0.06,18.05%,0.0063,0.000309771
3192,11.68,36.54%,0.0089,0.065967939
3193,21.96,25.52%,0.0072,0.117761818
3194,6.25,39.04%,0.0028,0.010668
3195,11.99,13.30%,0.0055,0.057174315
3196,0.58,22.58%,0.001,0.000449036
3197,23.78,27.58%,0.0043,0.074052347
3198,22.3,28.46%,0.0098,0.156343516
3199,22.14,38.71%,0.0021,0.028496173
3200,5.65,34.42%,0.0029,0.010745283
3201,18.91,17.31%,0.0083,0.129784436
3202,0.81,23.93%,0.0059,0.003635385
3203,11.86,23.42%,0.0014,0.012715343
3204,3.56,12.63%,0.0021,0.006531781
3205,18.42,8.37%,0.0062,0.104645125
3206,5.54,3.36%,0.0001,0.000535386
3207,18.86,32.76%,0.0058,0.073552491
3208,15.05,7.18%,0.0097,0.135503277
3209,11.79,13.84%,0.008,0.081266112
3210,9.07,5.09%,0.0009,0.007747503
3211,1.04,11.16%,0.0078,0.007206701
3212,3.58,19.26%,0.0005,0.001445246
3213,19.75,19.73%,0.0072,0.11414394
3214,2.51,37.53%,0.0057,0.008937583
3215,17.83,5.17%,0.0034,0.057487843
3216,6.2,25.17%,0.0005,0.00231973
3217,22.25,16.71%,0.007,0.129724175
3218,16.95,19.55%,0.0003,0.004090883
3219,4.81,34.15%,0.0011,0.003484124
3220,1.93,1.01%,0.0026,0.004967318
3221,19.28,13.48%,0.0011,0.018349162
3222,9.6,19.32%,0.0045,0.03485376
3223,0.87,5.79%,0.0089,0.00729468
3224,2.14,29.38%,0.0037,0.005591692
3225,2.43,25.13%,0.0067,0.012189585
3226,23.35,13.95%,0.004,0.0803707
3227,24.3,23.04%,0.0081,0.151480368
3228,8.66,36.30%,0.0049,0.027030458
3229,9.55,38.29%,0.006,0.03535983
3230,18.03,25.71%,0.0004,0.005357795
3231,18.23,28.27%,0.01,0.13076379
3232,13.14,4.18%,0.0028,0.035254094
3233,6.95,13.48%,0.0031,0.018640734
3234,22.8,20.31%,0.0069,0.125368308
3235,17.34,2.80%,0.0048,0.080901504
3236,10.06,2.96%,0.0024,0.023429338
3237,22.52,33.06%,0.0009,0.013567399
3238,18.55,3.58%,0.0031,0.055446321
3239,8.19,14.21%,0.0016,0.011241922
3240,8.95,28.59%,0.0094,0.060077233
3241,7.11,32.33%,0.003,0.014434011
3242,16.51,14.46%,0.0033,0.046604758
3243,19.11,2.44%,0.0009,0.016779344
3244,4.21,29.13%,0.0052,0.01551486
3245,4.48,29.60%,0.0009,0.002838528
3246,1.36,7.43%,0.0013,0.001636638
3247,13.69,30.58%,0.0092,0.087433102
3248,16.68,9.07%,0.0082,0.124370417
3249,22.1,33.06%,0.0092,0.136102408
3250,11.47,15.77%,0.0081,0.078255566
3251,16.84,11.47%,0.0013,0.019380988
3252,2.28,18.89%,0.0004,0.000739723
3253,8.04,23.85%,0.0068,0.041632728
3254,23.85,16.28%,0.0007,0.013977054
3255,5.72,18.51%,0.0091,0.042417175
3256,23.56,25.44%,0.0037,0.064995443
3257,7.29,4.63%,0.004,0.027809892
3258,18.94,2.33%,0.0016,0.029597917
3259,17.82,36.97%,0.0023,0.025833476
3260,14.55,8.64%,0.0038,0.050512944
3261,23.03,3.08%,0.0017,0.037945149
3262,14.91,8.25%,0.0091,0.124487318
3263,24.08,2.14%,0.0083,0.19558691
3264,15.53,29.91%,0.0095,0.103407282
3265,17.79,16.94%,0.0022,0.032508023
3266,7.9,2.50%,0.0009,0.00693225
3267,20.63,0.97%,0.0065,0.132794279
3268,2.28,25.65%,0.0005,0.00084759
3269,19.95,8.78%,0.0044,0.080072916
3270,7.93,17.75%,0.0034,0.022176245
3271,4.52,18.27%,0.0056,0.020687498
3272,23.4,38.21%,0.0027,0.039038922
3273,2.42,19.30%,0.0039,0.007616466
3274,14.59,28.31%,0.0007,0.0073217
3275,5.08,27.20%,0.0095,0.03513328
3276,13.69,17.67%,0.0092,0.103692988
3277,6.91,32.68%,0.0032,0.014885798
3278,5.71,30.12%,0.0027,0.0107734
3279,4.17,13.96%,0.0045,0.016145406
3280,1.93,8.48%,0.0047,0.008301779
3281,6.47,39.02%,0.0072,0.028406923
3282,15.13,9.48%,0.0048,0.065739245
3283,8.74,7.07%,0.0025,0.020305205
3284,7.46,38.32%,0.0011,0.005061461
3285,0.76,33.68%,0.0039,0.001965725
3286,1.71,12.29%,0.0061,0.00914903
3287,9.64,33.43%,0.0009,0.005775613
3288,6.81,36.18%,0.0024,0.010430741
3289,13.95,26.83%,0.0077,0.078595556
3290,13.32,24.12%,0.0081,0.08186845
3291,3.22,36.55%,0.0056,0.011441304
3292,4.63,7.64%,0.0064,0.027368115
3293,15.84,27.53%,0.0058,0.066579638
3294,19.32,33.20%,0.0001,0.001290576
3295,14.5,36.50%,0.0061,0.05616575
3296,18.76,15.18%,0.003,0.047736696
3297,22.23,2.68%,0.0041,0.088700368
3298,2.82,14.67%,0.0093,0.022378646
3299,5.42,27.59%,0.0006,0.002354773
3300,21.62,17.55%,0.0037,0.065955053
3301,3.35,18.89%,0.0084,0.022824354
3302,2.67,20.52%,0.0067,0.014218177
3303,19.65,3.58%,0.0052,0.098521956
3304,20.38,36.74%,0.0048,0.061883462
3305,20.27,12.67%,0.0032,0.056645731
3306,23.37,27.23%,0.0032,0.054420317
3307,2.5,6.83%,0.0052,0.0121121
3308,8.76,22.67%,0.0018,0.012193394
3309,6.95,22.44%,0.0071,0.038271982
3310,22.07,13.73%,0.0017,0.032367641
3311,15.87,22.82%,0.0043,0.052668404
3312,15.34,25.08%,0.007,0.080449096
3313,1.9,19.76%,0.0084,0.012806304
3314,24.4,38.25%,0.0093,0.1401231
3315,18.86,2.43%,0.0064,0.117770893
3316,10.64,37.60%,0.0003,0.001991808
3317,16.42,38.75%,0,0
3318,15.38,34.28%,0.0013,0.013140057
3319,0.51,11.83%,0.0031,0.001393968
3320,22.11,31.46%,0.0014,0.021215872
3321,18.44,27.58%,0.0065,0.086802612
3322,9.32,32.18%,0.0097,0.061311993
3323,9.45,9.78%,0.0081,0.069058899
3324,3.73,37.05%,0.0078,0.018314673
3325,23.59,29.04%,0.0004,0.006695786
3326,8.78,22.41%,0.0055,0.037468211
3327,3.74,11.57%,0.0075,0.024804615
3328,24.89,8.39%,0.0062,0.14137072
3329,10.06,16.57%,0.0056,0.047001125
3330,14.63,2.98%,0.0052,0.073808935
3331,5.65,21.14%,0.0003,0.001336677
3332,0.34,19.45%,0.0072,0.001971864
3333,23.06,2.56%,0.0022,0.049433261
3334,0.71,36.97%,0.009,0.004027617
3335,20.28,27.44%,0.0079,0.116249827
3336,6.41,37.74%,0.0086,0.034321448
3337,8.18,22.12%,0.0075,0.04777938
3338,8.79,13.90%,0.0032,0.024218208
3339,1.08,8.44%,0.002,0.001977696
3340,19.25,34.29%,0.006,0.07589505
3341,5.8,11.91%,0.0011,0.005620142
3342,6.32,16.72%,0.0076,0.04000105
3343,18.75,2.26%,0.0044,0.0806355
3344,18.31,31.80%,0.0074,0.092406908
3345,0.17,2.13%,0.0065,0.001081464
3346,7.96,4.90%,0.0096,0.072671616
3347,23.94,32.15%,0.0046,0.074719134
3348,0.31,9.04%,0.0068,0.001917437
3349,12.23,5.79%,0.0031,0.035717837
3350,14.3,34.37%,0.0084,0.078834756
3351,16,15.11%,0.0005,0.0067912
3352,7.29,15.54%,0.0037,0.022781396
3353,23.93,30.97%,0.0034,0.056164189
3354,10.18,4.65%,0.0033,0.032031879
3355,6.86,32.63%,0.0082,0.037896972
3356,20.11,29.37%,0.0066,0.093744374
3357,14.03,10.63%,0.0018,0.0225695
3358,23.8,8.49%,0.0086,0.187302668
3359,7.17,37.48%,0.0079,0.035413204
3360,19.27,39.46%,0.0093,0.108494339
3361,22.94,4.87%,0.0091,0.19858768
3362,0.55,16.20%,0.0007,0.00032263
3363,3.14,10.29%,0.0031,0.008732371
3364,17.13,30.61%,0.0083,0.098658008
3365,5.46,24.26%,0.002,0.008270808
3366,24.55,34.03%,0.0001,0.001619564
3367,20.75,19.50%,0.0088,0.146993
3368,15.29,21.67%,0.0072,0.08623193
3369,8.64,22.22%,0.0064,0.043009229
3370,10.17,10.99%,0.008,0.072418536
3371,0.41,7.09%,0.0051,0.001942748
3372,16.06,29.35%,0.0096,0.108925344
3373,5.3,20.02%,0.0056,0.023738064
3374,19.54,19.09%,0.0099,0.156517159
3375,23.58,20.35%,0.0005,0.009390735
3376,0.07,26.61%,0.0077,0.000395572
3377,21.05,7.07%,0.0091,0.178012062
3378,18.94,38.12%,0.0057,0.06680441
3379,3.84,38.84%,0.0074,0.017379226
3380,9.91,20.28%,0.0039,0.030810983
3381,20.89,3.80%,0.0074,0.148711732
3382,1.82,32.57%,0.0098,0.012026815
3383,18.53,13.20%,0.0082,0.131889128
3384,3.97,15.26%,0.009,0.030277602
3385,1.87,31.46%,0.0098,0.01256064
3386,13.76,36.11%,0.0039,0.03428593
3387,5.74,35.69%,0.006,0.022148364
3388,3.25,16.70%,0.004,0.010829
3389,15.68,0.42%,0.0076,0.118667494
3390,20.92,39.69%,0.0044,0.055514149
3391,7.33,19.92%,0.001,0.005869864
3392,3.44,25.56%,0.0091,0.023302698
3393,23.68,22.88%,0.0037,0.067569459
3394,15.6,14.89%,0.0023,0.030537468
3395,4.72,30.51%,0.0063,0.020663546
3396,19.93,22.60%,0.0075,0.11569365
3397,14.96,29.12%,0.0053,0.056199334
3398,2.63,33.66%,0.0012,0.00209369
3399,2.6,2.12%,0.0056,0.014251328
3400,5.59,38.89%,0.0042,0.014347406
3401,21.2,17.51%,0.0044,0.076946672
3402,3.82,30.14%,0.0078,0.020815486
3403,16.16,34.73%,0.0034,0.035861949
3404,24.13,23.83%,0.0022,0.040435606
3405,6.19,11.69%,0.0001,0.000546639
3406,6.81,22.65%,0.0016,0.008428056
3407,5.23,14.83%,0.005,0.022271955
3408,13.6,5.36%,0.0029,0.037326016
3409,16.71,27.13%,0.0044,0.053576939
3410,14.36,18.02%,0.0038,0.044734846
3411,1.74,24.90%,0.0078,0.010192572
3412,12.38,13.16%,0.0069,0.074180465
3413,0.87,1.72%,0.0053,0.004531691
3414,22.83,33.73%,0.0017,0.02572005
3415,2.82,13.37%,0.0039,0.009527567
3416,21.95,24.59%,0.0089,0.147317206
3417,2.94,35.19%,0.005,0.00952707
3418,13.77,39.38%,0.0054,0.04507582
3419,3.23,25.89%,0.0043,0.010293138
3420,10.29,3.20%,0.0087,0.086658264
3421,11.48,26.97%,0.0038,0.031858607
3422,10.18,10.38%,0.0065,0.059301554
3423,17.18,37.13%,0.0001,0.001080107
3424,6.69,32.54%,0.0021,0.009477455
3425,22.77,17.52%,0.0079,0.148367498
3426,2.9,23.83%,0.0094,0.020763942
3427,19.53,5.27%,0.004,0.074003076
3428,10.8,0.35%,0.0032,0.03443904
3429,5.36,38.72%,0.0018,0.005912294
3430,3.43,7.80%,0.006,0.01897476
3431,11.82,7.20%,0.0046,0.050457216
3432,17.78,14.18%,0.004,0.061035184
3433,7.54,19.86%,0.0095,0.057404282
3434,11.49,24.14%,0.0071,0.061885829
3435,16.2,32.00%,0.004,0.044064
3436,6.73,10.19%,0.0022,0.013297269
3437,6.37,11.02%,0.0004,0.00226721
3438,2.7,24.90%,0.0034,0.00689418
3439,13.92,17.54%,0.0062,0.071166278
3440,1.93,37.29%,0.0081,0.009803454
3441,3.27,21.83%,0.0026,0.006646013
3442,19.92,35.63%,0.0091,0.116684786
3443,0.93,10.73%,0.0058,0.004815224
3444,16.28,14.30%,0.0012,0.016742352
3445,24.28,8.52%,0.0081,0.179911886
3446,17.15,23.78%,0.0016,0.020914768
3447,15.94,17.64%,0.0065,0.085333196
3448,16.88,29.65%,0,0
3449,13.93,29.08%,0.0078,0.077057417
3450,12.92,32.72%,0.0038,0.033031789
3451,22.84,21.07%,0.002,0.036055224
3452,16.95,38.39%,0.0007,0.007310027
3453,6.55,10.15%,0.0031,0.018244043
3454,21.39,35.58%,0.0071,0.09783401
3455,21.86,24.04%,0.0029,0.048154082
3456,3.24,29.28%,0.0028,0.006415718
3457,13.29,2.07%,0.0006,0.007808938
3458,20.93,5.94%,0.0059,0.116151872
